date,week,subject,type,dict
10/8/23,6,n,HW,"{'A4': 6, 'A11': 6, 'A16': 2, 'B9': 5, 'B11': 3, 'A1': 4, 'A5': 6, 'A7': 1, 'A9': 2, 'C13': 2, 'A3': 3, 'B13': 4, 'B22': 3, 'B23': 4, 'B25': 2, 'B1': 2, 'B4': 1, 'B21': 3, 'C6': 1, 'A2': 2, 'A22': 2, 'B12': 1, 'B14': 2, 'B16': 4, 'A17': 2, 'B19': 2, 'C4': 3, 'C7': 2, 'C14': 3, 'C15': 3, 'B10': 1, 'A18': 1, 'B3': 1, 'B20': 1, 'A15': 1, 'B6': 1, 'C1': 1, 'A13': 1, 'C12': 1}"
10/8/23,6,q,HW,"{'A15': 3, 'C14': 9, 'C16': 2, 'C22': 2, 'C13': 1, 'C21': 2, 'C10': 2, 'C24': 4, 'C25': 1, 'A13': 1, 'C5': 2, 'C15': 1, 'A7': 1, 'B8': 1, 'C20': 4, 'B10': 1, 'C7': 1, 'C18': 2, 'A18': 1, 'A1': 1, 'A10': 1, 'B12': 1, 'B14': 1, 'C6': 1, 'C11': 1, 'A14': 1, 'A16': 1}"
10/14/23,7,e,IC,"{'22': 2, '33': 1, '5': 2, '32': 1, '24': 2, '9': 1, '35': 1, '19': 1, '25': 1, '28': 1}"
10/14/23,7,m,IC,"{'4': 2, '14': 2, '22': 2, '16': 3, '26': 1, '6': 1, '21': 1, '25': 2, '35': 1, '34': 1, '32': 1, '15': 1}"
10/14/23,7,e,HW,"{'13': 4, '21': 6, '31': 3, '39': 9, '43': 6, '22': 6, '50': 4, '17': 2, '37': 4, '9': 3, '12': 5, '33': 4, '38': 1, '24': 2, '35': 1, '15': 2, '16': 2, '30': 1, '2': 1, '19': 2, '20': 1, '34': 1}"
10/14/23,7,m,HW,"{'A24': 2, 'A29': 1, 'A32': 3, 'A35': 2, 'A38': 5, 'A20': 4, 'A31': 2, 'A42': 2, 'A2': 1, 'A10': 3, 'A19': 1, 'A50': 3, 'A13': 1, 'A39': 2, 'A40': 1, 'A8': 2, 'A48': 2, 'A22': 1, 'A33': 1, 'A37': 1, 'A47': 1, 'A49': 1}"
10/15/23,7,e,IC,"{'18': 1, '20': 1, '23': 2, '28': 2, '3': 1, '6': 1, '7': 1, '32': 1, '35': 1, '26': 1, '33': 2, '25': 1}"
10/15/23,7,m,IC,"{'16': 3, '19': 1, '22': 5, '9': 1, '15': 3, '17': 1, '31': 3, '35': 1, '12': 1, '26': 2, '21': 1, '27': 1, '36': 1, '6': 1, '25': 1}"
10/15/23,7,e,HW,"{'12': 9, '13': 4, '39': 7, '21': 3, '31': 5, '43': 5, '22': 2, '37': 3, '33': 3, '29': 2, '50': 1, '16': 1, '34': 2, '14': 1, '44': 1, '48': 1, '9': 1, '10': 1, '15': 1, '24': 1, '30': 1, '35': 1, '45': 2, '19': 1}"
10/15/23,7,m,HW,"{'A10': 5, 'A2': 1, 'A20': 2, 'A22': 1, 'A29': 1, 'A38': 3, 'A42': 3, 'A44': 2, 'A50': 1, 'A8': 1, 'A9': 1, 'A13': 1, 'A18': 2, 'A19': 1, 'A27': 2, 'A37': 1, 'A39': 2, 'A31': 1, 'A32': 1}"
